STATE,STATE (2010),Districts (2010),CD_NUM (2010),STATE_FP (2010),ID (2010),STUSPS (2020),Republican 2010,Democratic 2010,Districts,CD_NUM,STATE_FP,ID,STUSPS,Republican 2012,Democratic 2012,Republican 2014,Democratic 2014,Republican 2016,Democratic 2016,Republican 2018,Democratic 2018,Republican 2020,Democratic 2020
Alabama,Alabama,Alabama 1,01,01,0101,AL,91.5,8.5,Alabama 1,01,01,0101,AL,98.95,1.0499999999999972,68.25,31.75,98.2,1.7999999999999972,63.2,36.8,64.45,35.55
Alabama,Alabama,Alabama 2,02,01,0102,AL,51.3,48.7,Alabama 2,02,01,0102,AL,63.7,36.3,67.35,32.65,54.15,45.85,61.5,38.5,65.25,34.75
Alabama,Alabama,Alabama 3,03,01,0103,AL,59.1,40.9,Alabama 3,03,01,0103,AL,64.1,35.9,66.19999999999999,33.800000000000004,67.0,32.99999999999999,63.8,36.2,67.5,32.5
Alabama,Alabama,Alabama 4,04,01,0104,AL,100.0,0.0,Alabama 4,04,01,0104,AL,74.0,26.0,100.0,0.0,99.25,0.75,79.9,20.1,82.25,17.749999999999996
Alabama,Alabama,Alabama 5,05,01,0105,AL,58.5,41.5,Alabama 5,05,01,0105,AL,65.0,35.0,87.2,12.799999999999995,66.75,33.25,61.1,38.9,97.9,2.1000000000000014
Alabama,Alabama,Alabama 6,06,01,0106,AL,100.0,0.0,Alabama 6,06,01,0106,AL,71.4,28.6,76.25,23.75,74.55,25.45,69.2,30.8,98.55,1.4500000000000028
Alabama,Alabama,Alabama 7,07,01,0107,AL,27.4,72.6,Alabama 7,07,01,0107,AL,24.2,75.8,0.0,100.0,0.7999999999999972,99.2,0.0,100.0,1.3999999999999986,98.6
Alaska,Alaska,Alaska ,00,02,0200,AK,69.25,30.75,Alaska ,00,02,0200,AK,68.15,31.85,55.0,45.0,57.15,42.85,76.65,23.35,77.2,22.8
Arizona,Arizona,Arizona 1,01,04,0401,AZ,53.0,47.0,Arizona 1,01,04,0401,AZ,48.15,51.85,47.4,52.6,46.35,53.650000000000006,46.2,53.8,48.4,51.6
Arizona,Arizona,Arizona 2,02,04,0402,AZ,66.9,33.1,Arizona 2,02,04,0402,AZ,49.58,50.42,50.04,49.96,57.0,43.0,45.3,54.7,44.9,55.1
Arizona,Arizona,Arizona 3,03,04,0403,AZ,55.55,44.45,Arizona 3,03,04,0403,AZ,39.95,60.05,44.3,55.7,0.7000000000000028,99.3,36.1,63.9,35.4,64.6
Arizona,Arizona,Arizona 4,04,04,0404,AZ,30.3,69.7,Arizona 4,04,04,0404,AZ,69.35,30.65,72.1,27.9,71.5,28.5,68.85,31.15,69.75,30.25
Arizona,Arizona,Arizona 5,05,04,0405,AZ,54.4,45.6,Arizona 5,05,04,0405,AZ,67.25,32.75,69.6,30.4,64.1,35.9,59.4,40.6,58.9,41.1
Arizona,Arizona,Arizona 6,06,04,0406,AZ,68.65,31.35,Arizona 6,06,04,0406,AZ,64.3,35.7,64.9,35.1,62.1,37.9,55.2,44.8,52.2,47.8
Arizona,Arizona,Arizona 7,07,04,0407,AZ,47.0,53.0,Arizona 7,07,04,0407,AZ,9.85,90.15,12.85,87.15,24.75,75.25,7.100000000000001,92.9,23.3,76.7
Arizona,Arizona,Arizona 8,08,04,0408,AZ,49.25,50.75,Arizona 8,08,04,0408,AZ,64.4,35.599999999999994,87.9,12.1,84.25,15.75,55.5,44.5,59.6,40.4
Arizona,Arkansas,Arkansas 1,01,05,0409,AR,54.15,45.85,Arizona 9,09,04,0409,AZ,48.15,51.85,43.55,56.45,39.1,60.9,38.9,61.1,38.4,61.6
Arkansas,Arkansas,Arkansas 2,02,05,0501,AR,59.8,40.2,Arkansas 1,01,05,0501,AR,58.7,41.3,65.45,34.550000000000004,88.15,11.85,70.05000000000001,29.95,100.0,0.0
Arkansas,Arkansas,Arkansas 3,03,05,0502,AR,72.4,27.6,Arkansas 2,02,05,0502,AR,57.85,42.15,54.15,45.85,60.8,39.2,53.15,46.85,55.4,44.6
Arkansas,Arkansas,Arkansas 4,04,05,0503,AR,41.35,58.65,Arkansas 3,03,05,0503,AR,87.9,12.1,89.7,10.299999999999995,88.65,11.35,66.1,33.9,66.25,33.75
Arkansas,California,California 1,01,06,0504,CA,34.0,66.0,Arkansas 4,04,05,0504,AR,61.4,38.6,55.6,44.4,87.45,12.549999999999995,67.75,32.25,71.1,28.9
California,California,California 2,02,06,0601,CA,57.1,42.9,California 1,01,06,0601,CA,57.9,42.1,61.0,39.0,59.1,40.9,54.9,45.1,57.0,43.0
California,California,California 3,03,06,0602,CA,53.45,46.55,California 2,02,06,0602,CA,29.9,70.1,25.0,75.0,23.1,76.9,23.0,77.0,24.3,75.7
California,California,California 4,04,06,0603,CA,64.95,35.050000000000004,California 3,03,06,0603,CA,46.3,53.7,47.3,52.7,40.6,59.4,41.9,58.1,45.3,54.7
California,California,California 5,05,06,0604,CA,26.65,73.35,California 4,04,06,0604,CA,61.1,38.9,80.0,20.0,62.7,37.3,54.1,45.9,55.9,44.1
California,California,California 6,06,06,0605,CA,31.85,68.15,California 5,05,06,0605,CA,25.9,74.1,12.1,87.9,23.1,76.9,10.549999999999995,89.45,23.9,76.1
California,California,California 7,07,06,0606,CA,31.7,68.3,California 6,06,06,0606,CA,25.6,74.4,27.3,72.7,24.6,75.4,9.799999999999995,90.2,26.7,73.3
California,California,California 8,08,06,0607,CA,17.500000000000007,82.5,California 7,07,06,0607,CA,48.9,51.1,49.6,50.4,48.8,51.2,45.0,55.0,43.4,56.6
California,California,California 9,09,06,0608,CA,13.250000000000004,86.75,California 8,08,06,0608,CA,78.8,21.2,67.7,32.3,62.3,37.7,80.0,20.0,56.1,43.9
California,California,California 10,10,06,0609,CA,39.55,60.45,California 9,09,06,0609,CA,44.5,55.5,47.6,52.4,42.6,57.4,43.5,56.5,42.4,57.6
California,California,California 11,11,06,0610,CA,49.45,50.55,California 10,10,06,0610,CA,53.8,46.2,56.1,43.9,51.7,48.3,47.7,52.3,44.8,55.2
California,California,California 12,12,06,0611,CA,23.250000000000007,76.75,California 11,11,06,0611,CA,30.9,69.1,32.7,67.3,27.9,72.1,25.9,74.1,27.0,73.0
California,California,California 13,13,06,0612,CA,27.85,72.15,California 12,12,06,0612,CA,15.2,84.8,16.7,83.3,9.549999999999995,90.45,13.2,86.8,11.200000000000005,88.8
California,California,California 14,14,06,0613,CA,29.350000000000005,70.65,California 13,13,06,0613,CA,6.850000000000001,93.15,11.5,88.5,9.2,90.8,5.799999999999997,94.2,9.6,90.4
California,California,California 15,15,06,0614,CA,32.4,67.6,California 14,14,06,0614,CA,26.3,73.7,23.3,76.7,19.1,80.9,20.8,79.2,20.7,79.3
California,California,California 16,16,06,0615,CA,28.250000000000004,71.75,California 15,15,06,0615,CA,23.5,76.5,30.2,69.8,26.2,73.8,27.0,73.0,29.1,70.9
California,California,California 17,17,06,0616,CA,29.950000000000003,70.05,California 16,16,06,0616,CA,42.6,57.4,49.3,50.7,42.0,58.0,42.5,57.5,40.6,59.4
California,California,California 18,18,06,0617,CA,41.5,58.5,California 17,17,06,0617,CA,26.7,73.3,24.1,75.9,19.5,80.5,24.7,75.3,28.7,71.3
California,California,California 19,19,06,0618,CA,64.75,35.25000000000001,California 18,18,06,0618,CA,30.0,70.0,32.2,67.8,28.9,71.1,25.5,74.5,18.4,81.6
