NAME,STATEFP,Num_districts_2010,Num_districts,STUSPS
Alabama,01,7.0,7.0,AL
Alaska,02,1.0,1.0,AK
Arizona,04,8.0,9.0,AZ
Colorado,08,7.0,7.0,CO
Florida,12,25.0,27.0,FL
Georgia,13,13.0,14.0,GA
Indiana,18,9.0,9.0,IN
Kansas,20,4.0,4.0,KS
Maine,23,2.0,2.0,ME
Massachusetts,25,10.0,9.0,MA
Minnesota,27,8.0,8.0,MN
New Jersey,34,13.0,12.0,NJ
North Carolina,37,13.0,13.0,NC
North Dakota,38,1.0,1.0,ND
Oklahoma,40,5.0,5.0,OK
Pennsylvania,42,19.0,18.0,PA
South Dakota,46,1.0,1.0,SD
Texas,48,32.0,36.0,TX
Wyoming,56,1.0,1.0,WY
Connecticut,09,5.0,5.0,CT
Missouri,29,9.0,8.0,MO
West Virginia,54,3.0,3.0,WV
Illinois,17,19.0,18.0,IL
New Mexico,35,3.0,3.0,NM
Arkansas,05,4.0,4.0,AR
California,06,53.0,53.0,CA
Delaware,10,1.0,1.0,DE
Hawaii,15,2.0,2.0,DC
Iowa,19,5.0,4.0,HI
Kentucky,21,6.0,6.0,IA
Maryland,24,8.0,8.0,KY
Michigan,26,15.0,14.0,MD
Mississippi,28,4.0,4.0,MI
Montana,30,1.0,1.0,MS
New Hampshire,33,2.0,2.0,MT
New York,36,29.0,27.0,NH
Ohio,39,18.0,16.0,NY
Oregon,41,5.0,5.0,OH
Tennessee,47,9.0,9.0,OR
Utah,49,3.0,4.0,TN
Virginia,51,11.0,11.0,UT
Washington,53,9.0,10.0,VA
Wisconsin,55,8.0,8.0,WA
Nebraska,31,3.0,3.0,WI
South Carolina,45,6.0,7.0,AS
Idaho,16,2.0,2.0,GU
Nevada,32,3.0,4.0,MP
Vermont,50,1.0,1.0,NE
Louisiana,22,7.0,6.0,SC
Rhode Island,44,2.0,2.0,PR
